# CSV-File created with merge-csv.com
# -----------------------------------------------------------

schoolName,DTaP_P,MEASLES,MUMPS,RUBELLA,VARICELLA1,VARICELLA2,MENC,HBV,UTD1,UTD2,ZERO
ANCHOR POINT MONTESSORI,60%,80%,80%,100%,90%,60%,100%,90%,60%,60%,0%
BLESSED SACRAMENT SCHOOL,92%,92%,92%,96%,96%,92%,96%,92%,88%,88%,NR
ELSIE ROY ELEMENTARY,70%,75%,75%,89%,86%,75%,89%,84%,68%,68%,NR
FALSE CREEK ELEMENTARY,91%,88%,88%,91%,91%,91%,91%,91%,88%,88%,NR
L'ECOLE BILINGUE ELEMENTARY,72%,72%,72%,94%,92%,70%,97%,92%,70%,69%,NR
LORD ROBERTS ANNEX,73%,80%,80%,93%,93%,80%,93%,86%,68%,68%,NR
LORD ROBERTS ELEMENTARY,75%,76%,76%,93%,92%,76%,87%,89%,68%,66%,NR
SUBTOTAL,73%,75%,75%,90%,89%,73%,90%,80%,66%,64%,6%
ADMIRAL SEYMOUR ELEMENTARY,64%,59%,59%,77%,73%,59%,77%,55%,50%,50%,NR
BRITANNIA COMMUNITY ELEMENTARY,62%,65%,65%,85%,88%,65%,85%,77%,58%,58%,NR
GRANDVIEW ELEMENTARY,61%,61%,61%,78%,78%,61%,83%,67%,61%,61%,NR
INTERNATIONAL VILLAGE ELEMENTARY,71%,74%,74%,89%,87%,68%,84%,82%,63%,61%,NR
LORD NELSON ELEMENTARY,72%,75%,75%,88%,88%,73%,90%,78%,65%,65%,NR
LORD STRATHCONA COMMUNITY ELEMENTARY,81%,84%,84%,97%,95%,84%,98%,97%,79%,77%,0%
QUEEN VICTORIA ANNEX,73%,68%,68%,91%,95%,68%,95%,82%,59%,59%,0%
SIR WILLIAM MACDONALD COMMUNITY,54%,62%,62%,77%,69%,54%,77%,54%,46%,38%,NR
ST FRANCIS OF ASSISI,81%,85%,85%,100%,100%,78%,96%,96%,74%,70%,0%
THE WESTSIDE SCHOOL,85%,96%,96%,96%,92%,88%,92%,73%,73%,69%,0%
CHARLES DICKENS ELEMENTARY,91%,89%,89%,98%,98%,80%,96%,91%,80%,78%,NR
CHIEF MAQUINNA ELEMENTARY,83%,83%,83%,97%,97%,77%,90%,97%,77%,73%,NR
COLLINGWOOD NEIGHBOURHOOD SCHOOL,81%,86%,84%,89%,89%,84%,86%,78%,76%,76%,NR
DR A R LORD ELEMENTARY,81%,81%,81%,88%,88%,81%,88%,81%,75%,75%,NR
G T CUNNINGHAM ELEMENTARY,63%,63%,63%,95%,95%,61%,98%,93%,61%,59%,NR
GARIBALDI ANNEX,29%,43%,43%,86%,86%,29%,86%,71%,29%,29%,0%
GRAHAM BRUCE COMMUNITY ELEMENTARY,77%,81%,81%,88%,88%,73%,100%,92%,77%,73%,0%
HASTINGS COMMUNITY ELEMENTARY,70%,77%,77%,95%,95%,70%,96%,93%,68%,66%,NR
JOHN NORQUAY ELEMENTARY,73%,77%,76%,92%,89%,73%,89%,89%,70%,69%,NR
LAURA SECORD ELEMENTARY,73%,74%,74%,93%,91%,66%,93%,85%,66%,62%,NR
LORD BEACONSFIELD ELEMENTARY,83%,89%,89%,97%,94%,74%,97%,94%,80%,74%,NR
LORD SELKIRK ELEMENTARY,73%,77%,77%,96%,96%,73%,97%,93%,69%,67%,NR
NOOTKA COMMUNITY ELEMENTARY,79%,81%,81%,98%,96%,81%,96%,92%,73%,73%,NR
OUR LADY OF SORROWS,87%,87%,87%,94%,90%,84%,94%,94%,84%,84%,NR
QUEEN ALEXANDRA ELEMENTARY,39%,56%,56%,78%,78%,50%,83%,72%,33%,33%,NR
RENFREW COMMUNITY ELEMENTARY,80%,80%,80%,94%,91%,78%,96%,87%,76%,76%,NR
SIR GUY CARLETON COMMUNITY ELEMENTARY,83%,83%,83%,100%,100%,67%,100%,100%,67%,50%,0%
SIR JOHN FRANKLIN COMMUNITY,43%,57%,57%,86%,86%,43%,95%,86%,43%,43%,NR
SIR MATTHEW BEGBIE ELEMENTARY,70%,78%,78%,89%,84%,70%,92%,89%,70%,70%,NR
SIR WILFRED GRENFELL COMMUNITY,90%,90%,90%,96%,96%,88%,96%,96%,88%,85%,NR
ST JOSEPH'S,86%,76%,76%,95%,95%,81%,95%,95%,76%,76%,0%
ST JUDE'S,88%,88%,88%,100%,100%,88%,100%,100%,88%,88%,0%
ST MARY'S,89%,95%,93%,98%,96%,93%,95%,93%,86%,86%,NR
STRATFORD HALL,71%,74%,74%,94%,87%,71%,94%,90%,68%,65%,NR
THUNDERBIRD ELEMENTARY,46%,50%,50%,85%,85%,46%,88%,85%,42%,42%,NR
TILLICUM COMMUNITY ANNEX,84%,84%,84%,96%,96%,84%,96%,88%,76%,76%,NR
TYEE ELEMENTARY,81%,90%,90%,90%,90%,81%,90%,90%,81%,81%,NR
VANCOUVER CHRISTIAN,94%,94%,94%,96%,96%,92%,96%,96%,92%,91%,NR
WEST COAST CHRISTIAN SCHOOL,59%,65%,65%,82%,82%,59%,88%,76%,53%,53%,NR
WESTSIDE MONTESSORI ACADEMY,67%,60%,60%,93%,93%,60%,93%,93%,60%,53%,NR
BAYVIEW COMMUNITY ELEMENTARY,81%,81%,81%,97%,97%,81%,90%,90%,77%,77%,0%
CARNARVON COMMUNITY ELEMENTARY,81%,81%,81%,98%,96%,83%,98%,90%,79%,79%,0%
CROFTON HOUSE,93%,98%,98%,100%,100%,93%,100%,100%,93%,93%,0%
DR R E MCKECHNIE ELEMENTARY,80%,73%,73%,97%,97%,73%,100%,100%,73%,73%,0%
ECOLE JULES QUESNEL ELEMENTARY,70%,73%,73%,95%,93%,66%,95%,93%,68%,64%,NR
GENERAL GORDON ELEMENTARY,67%,69%,69%,94%,92%,65%,96%,84%,63%,59%,NR
HENRY HUDSON ELEMENTARY,60%,67%,67%,84%,79%,62%,79%,79%,55%,55%,16%
IMMACULATE CONCEPTION SCHOOL,75%,79%,79%,96%,96%,79%,96%,96%,71%,71%,NR
KERRISDALE ANNEX,65%,68%,68%,91%,88%,71%,85%,76%,56%,53%,NR
KERRISDALE ELEMENTARY,68%,78%,78%,95%,95%,75%,98%,83%,60%,60%,NR
LORD KITCHENER ELEMENTARY,86%,90%,90%,98%,98%,90%,96%,94%,86%,86%,NR
LORD TENNYSON ELEMENTARY,86%,88%,88%,95%,97%,86%,97%,90%,83%,81%,NR
MADRONA SCHOOL,63%,63%,63%,88%,88%,63%,88%,88%,63%,63%,0%
MAPLE GROVE ELEMENTARY,62%,69%,69%,95%,93%,75%,85%,84%,58%,58%,NR
NORMA ROSE POINT ELEMENTARY JUNIOR,85%,89%,88%,100%,94%,85%,94%,98%,80%,80%,0%
OUR LADY OF PERPETUAL HELP,92%,94%,92%,98%,98%,90%,98%,96%,90%,90%,0%
PACIFIC SPIRIT SCHOOL,38%,38%,38%,75%,63%,38%,75%,75%,38%,38%,NR
QUEEN ELIZABETH ANNEX,86%,82%,82%,95%,86%,82%,95%,95%,77%,77%,NR
QUEEN ELIZABETH ELEMENTARY,76%,84%,84%,89%,92%,86%,86%,84%,76%,76%,NR
QUEEN MARY ELEMENTARY,80%,73%,73%,93%,96%,76%,93%,89%,71%,71%,NR
QUILCHENA ELEMENTARY VANCOUVER,97%,97%,97%,100%,100%,97%,100%,100%,97%,97%,0%
SHAUGHNESSY ELEMENTARY,71%,78%,78%,96%,94%,75%,94%,94%,67%,67%,0%
SOUTHLANDS ELEMENTARY,74%,76%,76%,91%,88%,71%,94%,88%,71%,68%,NR
ST AUGUSTINES INDEPENDENT,96%,94%,94%,96%,96%,92%,96%,96%,94%,92%,NR
ST JOHN'S SCHOOL,90%,90%,90%,93%,93%,90%,97%,97%,90%,90%,0%
TRAFALGAR ELEMENTARY,78%,82%,82%,93%,91%,75%,91%,88%,75%,72%,NR
UNIVERSITY HILL ELEMENTARY,80%,74%,75%,91%,90%,71%,87%,86%,65%,59%,NR
VANCOUVER COLLEGE,89%,86%,86%,100%,100%,89%,100%,96%,82%,82%,0%
WEST POINT GREY ACADEMY,93%,96%,96%,100%,100%,96%,98%,93%,87%,87%,0%
YORK HOUSE SCHOOL,85%,87%,87%,92%,90%,82%,95%,95%,85%,82%,0%
DAVID LIVINGSTONE ELEMENTARY,82%,78%,78%,88%,88%,80%,94%,92%,76%,76%,NR
ECOLE ROSE-DES-VENTS,78%,82%,82%,90%,90%,78%,94%,76%,63%,59%,NR
EDITH CAVELL ELEMENTARY,95%,93%,93%,100%,100%,95%,100%,100%,93%,93%,0%
EMILY CARR ELEMENTARY,81%,83%,83%,93%,90%,81%,95%,90%,81%,81%,NR
FLORENCE NIGHTINGALE ELEMENTARY,95%,93%,93%,98%,95%,88%,98%,90%,83%,80%,NR
GENERAL BROCK ELEMENTARY,63%,70%,70%,96%,96%,70%,96%,96%,63%,63%,NR
GENERAL WOLFE ELEMENTARY,85%,89%,89%,94%,91%,87%,91%,89%,81%,81%,NR
LORD SELKIRK ANNEX,82%,76%,76%,82%,82%,76%,88%,88%,76%,76%,NR
MOUNT PLEASANT ELEMENTARY,92%,86%,86%,97%,97%,89%,94%,92%,86%,86%,NR
SIMON FRASER ELEMENTARY,90%,88%,88%,96%,96%,86%,94%,92%,86%,84%,NR
SIR ALEXANDER MACKENZIE ELEMENTARY,76%,76%,76%,89%,89%,76%,91%,89%,70%,70%,NR
SIR RICHARD MCBRIDE ANNEX,88%,88%,88%,92%,92%,76%,96%,92%,88%,76%,NR
SIR RICHARD MCBRIDE ELEMENTARY,83%,83%,83%,97%,97%,83%,93%,93%,83%,83%,NR
ST FRANCIS XAVIER,96%,95%,95%,100%,100%,93%,100%,100%,95%,93%,0%
ST PATRICK'S ELEMENTARY,86%,86%,86%,100%,100%,86%,100%,100%,86%,86%,0%
TECUMSEH ANNEX,95%,95%,95%,100%,100%,95%,100%,100%,95%,95%,0%
VANCOUVER TALMUD TORAH ELEMENTARY,65%,67%,67%,96%,96%,63%,92%,86%,63%,63%,NR
CAPTAIN JAMES COOK ELEMENTARY,90%,90%,90%,98%,98%,88%,98%,90%,84%,84%,NR
CHAMPLAIN HEIGHTS ANNEX,93%,93%,93%,100%,100%,93%,100%,93%,85%,85%,0%
CHAMPLAIN HEIGHTS COMMUNITY ELEMENTARY,79%,79%,79%,95%,95%,74%,95%,95%,79%,74%,NR
CORPUS CHRISTI SCHOOL,88%,93%,93%,100%,100%,91%,95%,100%,84%,84%,0%
