language,speakers
Atikamekw,0
"Cree,n.o.s.",25
Dene,0
Innu/Montagnais,0
Inuktitut,5
Mi'kmaq,0
Ojibway,0
Oji-Cree,0
Stoney,0
"Africanlanguages,n.i.e.",0
Afrikaans,55
Akan(Twi),0
Albanian,10
Amharic,25
Arabic,"1,045"
Armenian,40
"Bantulanguages,n.i.e.",0
Bengali,25
Berberlanguages(Kabyle),0
Bisayanlanguages,25
Bosnian,40
Bulgarian,130
Burmese,5
Cantonese,"2,120"
"Chinese,n.o.s.","2,155"
Creoles,10
Croatian,145
Czech,90
Danish,35
Dutch,145
Estonian,5
Finnish,40
Flemish,5
Fukien,35
German,605
Greek,80
Gujarati,90
Hakka,15
Hebrew,90
Hindi,135
Hungarian,130
Ilocano,15
"Indo-Iranianlanguages,n.i.e.",0
Italian,220
Japanese,975
Khmer(Cambodian),0
Korean,"1,965"
Kurdish,20
Lao,10
Latvian,15
Lingala,0
Lithuanian,10
Macedonian,20
Malay,165
Malayalam,15
Maltese,0
Mandarin,"1,685"
Marathi,5
Nepali,5
"Niger-Congolanguages,n.i.e.",5
Norwegian,20
Oromo,0
Panjabi(Punjabi),265
Pashto,0
Persian(Farsi),"2,895"
Polish,370
Portuguese,365
Romanian,150
Rundi(Kirundi),0
Russian,890
Rwanda(Kinyarwanda),0
"Semiticlanguages,n.i.e.",5
Serbian,625
Serbo-Croatian,150
Shanghainese,30
"Signlanguages,n.i.e.",0
Sindhi,60
Sinhala(Sinhalese),20
"Sino-Tibetanlanguages,n.i.e.",5
"Slaviclanguages,n.i.e.",20
Slovak,90
Slovenian,5
Somali,10
Spanish,"1,380"
Swahili,15
Swedish,70
"Tagalog(Pilipino,Filipino)",440
Taiwanese,80
Tamil,20
Telugu,15
Thai,115
Tibetanlanguages,5
Tigrigna,10
Turkish,170
Ukrainian,80
Urdu,65
Vietnamese,205
Yiddish,10
