language,speakers
Atikamekw,0
"Cree,n.o.s.",0
Dene,0
Innu/Montagnais,5
Inuktitut,0
Mi'kmaq,0
Ojibway,0
Oji-Cree,0
Stoney,0
"Africanlanguages,n.i.e.",5
Afrikaans,15
Akan(Twi),0
Albanian,0
Amharic,0
Arabic,20
Armenian,20
"Bantulanguages,n.i.e.",0
Bengali,15
Berberlanguages(Kabyle),0
Bisayanlanguages,5
Bosnian,0
Bulgarian,5
Burmese,5
Cantonese,"1,035"
"Chinese,n.o.s.","1,350"
Creoles,5
Croatian,30
Czech,25
Danish,30
Dutch,70
Estonian,0
Finnish,15
Flemish,5
Fukien,25
German,380
Greek,135
Gujarati,10
Hakka,5
Hebrew,55
Hindi,25
Hungarian,65
Ilocano,5
"Indo-Iranianlanguages,n.i.e.",0
Italian,75
Japanese,180
Khmer(Cambodian),0
Korean,225
Kurdish,0
Lao,0
Latvian,5
Lingala,0
Lithuanian,5
Macedonian,5
Malay,20
Malayalam,0
Maltese,0
Mandarin,"1,275"
Marathi,0
Nepali,0
"Niger-Congolanguages,n.i.e.",0
Norwegian,25
Oromo,0
Panjabi(Punjabi),65
Pashto,0
Persian(Farsi),75
Polish,70
Portuguese,45
Romanian,25
Rundi(Kirundi),0
Russian,60
Rwanda(Kinyarwanda),0
"Semiticlanguages,n.i.e.",0
Serbian,40
Serbo-Croatian,5
Shanghainese,0
"Signlanguages,n.i.e.",0
Sindhi,5
Sinhala(Sinhalese),5
"Sino-Tibetanlanguages,n.i.e.",0
"Slaviclanguages,n.i.e.",0
Slovak,5
Slovenian,5
Somali,0
Spanish,145
Swahili,5
Swedish,20
Filipino,155
Taiwanese,130
Tamil,5
Telugu,5
Thai,15
Tibetanlanguages,0
Tigrigna,0
Turkish,20
Ukrainian,30
Urdu,0
Vietnamese,15
Yiddish,10
