language,speakers,,,,,,,,,,,,,,,,,,,,
Atikamekw,0,,,,,,,,,,,,,,,,,,,,
"Cree,n.o.s.",5,,,,,,,,,,,,,,,,,,,,
Dene,0,,,,,,,,,,,,,,,,,,,,
Innu/Montagnais,0,,,,,,,,,,,,,,,,,,,,
Inuktitut,0,,,,,,,,,,,,,,,,,,,,
Mi'kmaq,0,,,,,,,,,,,,,,,,,,,,
Ojibway,0,,,,,,,,,,,,,,,,,,,,
Oji-Cree,0,,,,,,,,,,,,,,,,,,,,
Stoney,0,,,,,,,,,,,,,,,,,,,,
"Africanlanguages,n.i.e.",5,,,,,,,,,,,,,,,,,,,,
Afrikaans,20,,,,,,,,,,,,,,,,,,,,
Akan(Twi),5,,,,,,,,,,,,,,,,,,,,
Albanian,35,,,,,,,,,,,,,,,,,,,,
Amharic,15,,,,,,,,,,,,,,,,,,,,
Arabic,95,,,,,,,,,,,,,,,,,,,,
Armenian,15,,,,,,,,,,,,,,,,,,,,
"Bantulanguages,n.i.e.",5,,,,,,,,,,,,,,,,,,,,
Bengali,10,,,,,,,,,,,,,,,,,,,,
Berberlanguages(Kabyle),0,,,,,,,,,,,,,,,,,,,,
Bisayanlanguages,20,,,,,,,,,,,,,,,,,,,,
Bosnian,10,,,,,,,,,,,,,,,,,,,,
Bulgarian,45,,,,,,,,,,,,,,,,,,,,
Burmese,5,,,,,,,,,,,,,,,,,,,,
Cantonese,860,,,,,,,,,,,,,,,,,,,,
"Chinese,n.o.s.",685,,,,,,,,,,,,,,,,,,,,
Creoles,5,,,,,,,,,,,,,,,,,,,,
Croatian,75,,,,,,,,,,,,,,,,,,,,
Czech,85,,,,,,,,,,,,,,,,,,,,
Danish,45,,,,,,,,,,,,,,,,,,,,
Dutch,110,,,,,,,,,,,,,,,,,,,,
Estonian,10,,,,,,,,,,,,,,,,,,,,
Finnish,40,,,,,,,,,,,,,,,,,,,,
Flemish,0,,,,,,,,,,,,,,,,,,,,
Fukien,15,,,,,,,,,,,,,,,,,,,,
German,485,,,,,,,,,,,,,,,,,,,,
Greek,95,,,,,,,,,,,,,,,,,,,,
Gujarati,45,,,,,,,,,,,,,,,,,,,,
Hakka,0,,,,,,,,,,,,,,,,,,,,
Hebrew,60,,,,,,,,,,,,,,,,,,,,
Hindi,40,,,,,,,,,,,,,,,,,,,,
Hungarian,105,,,,,,,,,,,,,,,,,,,,
Ilocano,0,,,,,,,,,,,,,,,,,,,,
"Indo-Iranianlanguages,n.i.e.",0,,,,,,,,,,,,,,,,,,,,
Italian,150,,,,,,,,,,,,,,,,,,,,
Japanese,470,,,,,,,,,,,,,,,,,,,,
Khmer(Cambodian),5,,,,,,,,,,,,,,,,,,,,
Korean,295,,,,,,,,,,,,,,,,,,,,
Kurdish,5,,,,,,,,,,,,,,,,,,,,
Lao,5,,,,,,,,,,,,,,,,,,,,
Latvian,10,,,,,,,,,,,,,,,,,,,,
Lingala,0,,,,,,,,,,,,,,,,,,,,
Lithuanian,10,,,,,,,,,,,,,,,,,,,,
Macedonian,5,,,,,,,,,,,,,,,,,,,,
Malay,25,,,,,,,,,,,,,,,,,,,,
Malayalam,5,,,,,,,,,,,,,,,,,,,,
Maltese,5,,,,,,,,,,,,,,,,,,,,
Mandarin,615,,,,,,,,,,,,,,,,,,,,
Marathi,0,,,,,,,,,,,,,,,,,,,,
Nepali,0,,,,,,,,,,,,,,,,,,,,
"Niger-Congolanguages,n.i.e.",0,,,,,,,,,,,,,,,,,,,,
Norwegian,15,,,,,,,,,,,,,,,,,,,,
Oromo,5,,,,,,,,,,,,,,,,,,,,
Panjabi(Punjabi),85,,,,,,,,,,,,,,,,,,,,
Pashto,0,,,,,,,,,,,,,,,,,,,,
Persian(Farsi),305,,,,,,,,,,,,,,,,,,,,
Polish,210,,,,,,,,,,,,,,,,,,,,
Portuguese,110,,,,,,,,,,,,,,,,,,,,
Romanian,105,,,,,,,,,,,,,,,,,,,,
Rundi(Kirundi),0,,,,,,,,,,,,,,,,,,,,
Russian,220,,,,,,,,,,,,,,,,,,,,
Rwanda(Kinyarwanda),0,,,,,,,,,,,,,,,,,,,,
"Semiticlanguages,n.i.e.",0,,,,,,,,,,,,,,,,,,,,
Serbian,205,,,,,,,,,,,,,,,,,,,,
Serbo-Croatian,60,,,,,,,,,,,,,,,,,,,,
Shanghainese,15,,,,,,,,,,,,,,,,,,,,
"Signlanguages,n.i.e.",5,,,,,,,,,,,,,,,,,,,,
Sindhi,25,,,,,,,,,,,,,,,,,,,,
Sinhala(Sinhalese),0,,,,,,,,,,,,,,,,,,,,
"Sino-Tibetanlanguages,n.i.e.",0,,,,,,,,,,,,,,,,,,,,
"Slaviclanguages,n.i.e.",0,,,,,,,,,,,,,,,,,,,,
Slovak,30,,,,,,,,,,,,,,,,,,,,
Slovenian,5,,,,,,,,,,,,,,,,,,,,
Somali,0,,,,,,,,,,,,,,,,,,,,
Spanish,520,,,,,,,,,,,,,,,,,,,,
Swahili,5,,,,,,,,,,,,,,,,,,,,
Swedish,50,,,,,,,,,,,,,,,,,,,,
Filipino,265,,,,,,,,,,,,,,,,,,,,
Taiwanese,50,,,,,,,,,,,,,,,,,,,,
Tamil,10,,,,,,,,,,,,,,,,,,,,
Telugu,0,,,,,,,,,,,,,,,,,,,,
Thai,15,,,,,,,,,,,,,,,,,,,,
Tibetanlanguages,0,,,,,,,,,,,,,,,,,,,,
Tigrigna,5,,,,,,,,,,,,,,,,,,,,
Turkish,35,,,,,,,,,,,,,,,,,,,,
Ukrainian,105,,,,,,,,,,,,,,,,,,,,
Urdu,15,,,,,,,,,,,,,,,,,,,,
Vietnamese,55,,,,,,,,,,,,,,,,,,,,
Yiddish,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
