language,speakers
Atikamekw,0
"Cree,n.o.s.",25
Dene,0
Innu/Montagnais,0
Inuktitut,0
Mi'kmaq,0
Ojibway,10
Oji-Cree,0
Stoney,0
Afrikaans,10
Akan(Twi),5
Albanian,5
Amharic,15
Arabic,60
Armenian,10
"Bantulanguages,n.i.e.",5
Bengali,10
Berberlanguages(Kabyle),0
Bisayanlanguages,25
Bosnian,5
Bulgarian,10
Burmese,10
Cantonese,"1,730"
"Chinese,n.o.s.","1,065"
Creoles,5
Croatian,95
Czech,35
Danish,20
Dutch,55
Estonian,0
Finnish,15
Flemish,0
Fukien,15
German,270
Greek,70
Gujarati,10
Hakka,10
Hebrew,15
Hindi,35
Hungarian,65
Ilocano,25
"Indo-Iranianlanguages,n.i.e.",5
Italian,535
Japanese,185
Khmer(Cambodian),10
Korean,135
Kurdish,15
Lao,5
Latvian,10
Lingala,5
Lithuanian,5
Macedonian,0
Malay,20
Malayalam,0
Maltese,0
Mandarin,290
Marathi,5
Nepali,0
"Niger-Congolanguages,n.i.e.",0
Norwegian,5
Oromo,5
Panjabi(Punjabi),50
Pashto,5
Persian(Farsi),80
Polish,160
Portuguese,185
Romanian,40
Rundi(Kirundi),5
Russian,100
Rwanda(Kinyarwanda),10
"Semiticlanguages,n.i.e.",0
Serbian,45
Serbo-Croatian,20
Shanghainese,15
"Signlanguages,n.i.e.",5
Sindhi,5
Sinhala(Sinhalese),0
"Sino-Tibetanlanguages,n.i.e.",0
"Slaviclanguages,n.i.e.",5
Slovak,15
Slovenian,10
Somali,15
Spanish,600
Swahili,5
Swedish,20
Filipino,460
Taiwanese,5
Tamil,20
Telugu,0
Thai,30
Tibetanlanguages,0
Tigrigna,15
Turkish,15
Ukrainian,30
Urdu,25
Vietnamese,460
Yiddish,5
