language,speakers
Atikamekw,0
"Cree,n.o.s.",5
Dene,0
Innu/Montagnais,0
Inuktitut,0
Mi'kmaq,0
Ojibway,5
Oji-Cree,0
Stoney,0
"Africanlanguages,n.i.e.",10
Afrikaans,15
Akan(Twi),0
Albanian,5
Amharic,5
Arabic,50
Armenian,10
"Bantulanguages,n.i.e.",10
Bengali,50
Berberlanguages(Kabyle),0
Bisayanlanguages,45
Bosnian,5
Bulgarian,10
Burmese,40
Cantonese,"7,120"
"Chinese,n.o.s.","3,755"
Creoles,0
Croatian,150
Czech,20
Danish,10
Dutch,35
Estonian,0
Finnish,20
Flemish,0
Fukien,25
German,150
Greek,60
Gujarati,35
Hakka,30
Hebrew,0
Hindi,135
Hungarian,35
Ilocano,70
"Indo-Iranianlanguages,n.i.e.",0
Italian,"1,465"
Japanese,230
Khmer(Cambodian),25
Korean,80
Kurdish,30
Lao,10
Latvian,0
Lingala,0
Lithuanian,0
Macedonian,5
Malay,15
Malayalam,10
Maltese,0
Mandarin,665
Marathi,0
Nepali,0
"Niger-Congolanguages,n.i.e.",0
Norwegian,0
Oromo,10
Panjabi(Punjabi),205
Pashto,5
Persian(Farsi),130
Polish,60
Portuguese,200
Romanian,15
Rundi(Kirundi),0
Russian,60
Rwanda(Kinyarwanda),0
"Semiticlanguages,n.i.e.",5
Serbian,65
Serbo-Croatian,10
Shanghainese,35
"Signlanguages,n.i.e.",5
Sindhi,0
Sinhala(Sinhalese),15
"Sino-Tibetanlanguages,n.i.e.",0
"Slaviclanguages,n.i.e.",0
Slovak,10
Slovenian,5
Somali,5
Spanish,720
Swahili,5
Swedish,10
Filipino,900
Taiwanese,35
Tamil,10
Telugu,5
Thai,20
Tibetanlanguages,0
Tigrigna,0
Turkish,20
Ukrainian,45
Urdu,45
Vietnamese,"1,445"
Yiddish,0
