language,speakers
Atikamekw,0
"Cree,n.o.s.",0
Dene,0
Innu/Montagnais,0
Inuktitut,0
Mi'kmaq,0
Ojibway,0
Oji-Cree,0
Stoney,0
"Africanlanguages,n.i.e.",0
Afrikaans,0
Akan(Twi),0
Albanian,0
Amharic,0
Arabic,15
Armenian,0
"Bantulanguages,n.i.e.",0
Bengali,5
Berberlanguages(Kabyle),0
Bisayanlanguages,10
Bosnian,0
Bulgarian,0
Burmese,0
Cantonese,"1,300"
"Chinese,n.o.s.","1,500"
Creoles,0
Croatian,10
Czech,20
Danish,10
Dutch,35
Estonian,0
Finnish,5
Flemish,0
Fukien,25
German,150
Greek,55
Gujarati,10
Hakka,15
Hebrew,50
Hindi,25
Hungarian,20
Ilocano,10
"Indo-Iranianlanguages,n.i.e.",0
Italian,35
Japanese,125
Khmer(Cambodian),5
Korean,340
Kurdish,0
Lao,0
Latvian,5
Lingala,0
Lithuanian,0
Macedonian,0
Malay,15
Malayalam,0
Maltese,0
Mandarin,"1,645"
Marathi,0
Nepali,0
"Niger-Congolanguages,n.i.e.",0
Norwegian,0
Oromo,0
Panjabi(Punjabi),115
Pashto,0
Persian(Farsi),75
Polish,30
Portuguese,15
Romanian,15
Rundi(Kirundi),0
Russian,60
Rwanda(Kinyarwanda),0
"Semiticlanguages,n.i.e.",0
Serbian,30
Serbo-Croatian,0
Shanghainese,15
"Signlanguages,n.i.e.",0
Sindhi,0
Sinhala(Sinhalese),0
"Sino-Tibetanlanguages,n.i.e.",0
"Slaviclanguages,n.i.e.",0
Slovak,0
Slovenian,5
Somali,0
Spanish,95
Swahili,5
Swedish,10
Filipino,150
Taiwanese,130
Tamil,10
Telugu,5
Thai,10
Tibetanlanguages,5
Tigrigna,0
Turkish,5
Ukrainian,20
Urdu,15
Vietnamese,15
Yiddish,5
