language,speakers
"Africanlanguages,n.i.e.",5
Afrikaans,5
Akan(Twi),5
Albanian,5
Amharic,40
Arabic,85
Armenian,5
"Bantulanguages,n.i.e.",0
Bengali,30
Berberlanguages(Kabyle),0
Bisayanlanguages,75
Bosnian,15
Bulgarian,5
Burmese,20
Cantonese,"4,980"
"Chinese,n.o.s.","3,225"
Creoles,5
Croatian,70
Czech,20
Danish,15
Dutch,55
Estonian,0
Finnish,40
Flemish,0
Fukien,50
German,220
Greek,95
Gujarati,90
Hakka,40
Hebrew,10
Hindi,215
Hungarian,75
Ilocano,65
"Indo-Iranianlanguages,n.i.e.",10
Italian,160
Japanese,230
Khmer(Cambodian),10
Korean,475
Kurdish,65
Lao,10
Latvian,0
Lingala,0
Lithuanian,5
Macedonian,0
Malay,70
Malayalam,25
Maltese,0
Mandarin,"1,370"
Marathi,5
Nepali,0
"Niger-Congolanguages,n.i.e.",10
Norwegian,5
Oromo,10
Panjabi(Punjabi),775
Pashto,5
Persian(Farsi),105
Polish,245
Portuguese,140
Romanian,60
Rundi(Kirundi),0
Russian,210
Rwanda(Kinyarwanda),5
"Semiticlanguages,n.i.e.",5
Serbian,70
Serbo-Croatian,15
Shanghainese,50
"Signlanguages,n.i.e.",5
Sindhi,20
Sinhala(Sinhalese),5
"Sino-Tibetanlanguages,n.i.e.",5
"Slaviclanguages,n.i.e.",0
Slovak,15
Slovenian,5
Somali,5
Spanish,650
Swahili,0
Swedish,10
Filipino,"1,020"
Taiwanese,90
Tamil,45
Telugu,5
Thai,10
Tibetanlanguages,0
Tigrigna,10
Turkish,50
Ukrainian,60
Urdu,25
Vietnamese,575
Yiddish,0
Otherlanguages,
Multipleresponses,
EnglishandFrench,
Englishandnon-officiallanguage,
Frenchandnon-officiallanguage,
"English,Frenchandnon-officiallanguage",
Detailedmothertongue-Malesexcludinginstitutionalresidents,
Singleresponses,
English,
French,
Non-officiallanguages,
SelectedAboriginallanguages,
Atikamekw,
"Cree,n.o.s.",
Dene,
Innu/Montagnais,
Inuktitut,
Mi'kmaq,
Ojibway,
Oji-Cree,
Stoney,
Selectednon-Aboriginallanguages,
"Africanlanguages,n.i.e.",
Afrikaans,
Akan(Twi),
Albanian,
Amharic,
Arabic,
Armenian,
"Bantulanguages,n.i.e.",
Bengali,
Berberlanguages(Kabyle),
Bisayanlanguages,
Bosnian,
Bulgarian,
Burmese,
Cantonese,
"Chinese,n.o.s.",
Creoles,
Croatian,
Czech,
Danish,
Dutch,
Estonian,
Finnish,
Flemish,
Fukien,
German,
Greek,
Gujarati,
Hakka,
Hebrew,
Hindi,
Hungarian,
Ilocano,
"Indo-Iranianlanguages,n.i.e.",
Italian,
Japanese,
Khmer(Cambodian),
Korean,
Kurdish,
Lao,
Latvian,
Lingala,
Lithuanian,
Macedonian,
Malay,
Malayalam,
Maltese,
Mandarin,
Marathi,
Nepali,
"Niger-Congolanguages,n.i.e.",
Norwegian,
Oromo,
Panjabi(Punjabi),
Pashto,
Persian(Farsi),
Polish,
Portuguese,
Romanian,
Rundi(Kirundi),
Russian,
Rwanda(Kinyarwanda),
"Semiticlanguages,n.i.e.",
Serbian,
Serbo-Croatian,
Shanghainese,
"Signlanguages,n.i.e.",
Sindhi,
Sinhala(Sinhalese),
"Sino-Tibetanlanguages,n.i.e.",
"Slaviclanguages,n.i.e.",
Slovak,
Slovenian,
Somali,
Spanish,
Swahili,
Swedish,
Filipino,
Taiwanese,
Tamil,
Telugu,
Thai,
Tibetanlanguages,
Tigrigna,
Turkish,
Ukrainian,
Urdu,
Vietnamese,
Yiddish,
