language,speakers
"Africanlanguages,n.i.e.",15
Afrikaans,0
Akan(Twi),10
Albanian,5
Amharic,65
Arabic,25
Armenian,5
"Bantulanguages,n.i.e.",10
Bengali,0
Berberlanguages(Kabyle),5
Bisayanlanguages,10
Bosnian,40
Bulgarian,0
Burmese,640
Cantonese,690
"Chinese,n.o.s.",0
Creoles,75
Croatian,75
Czech,60
Danish,165
Dutch,20
Estonian,40
Finnish,15
Flemish,5
Fukien,785
German,580
Greek,35
Gujarati,10
Hakka,90
Hebrew,60
Hindi,145
Hungarian,15
Ilocano,5
"Indo-Iranianlanguages,n.i.e.",225
Italian,425
Japanese,5
Khmer(Cambodian),285
Korean,10
Kurdish,5
Lao,25
Latvian,0
Lingala,10
Lithuanian,10
Macedonian,30
Malay,5
Malayalam,5
Maltese,635
Mandarin,5
Marathi,0
Nepali,0
"Niger-Congolanguages,n.i.e.",25
Norwegian,0
Oromo,110
Panjabi(Punjabi),0
Pashto,270
Persian(Farsi),205
Polish,130
Portuguese,90
Romanian,0
Rundi(Kirundi),270
Russian,0
Rwanda(Kinyarwanda),0
"Semiticlanguages,n.i.e.",155
Serbian,15
Serbo-Croatian,5
Shanghainese,0
"Signlanguages,n.i.e.",10
Sindhi,0
Sinhala(Sinhalese),0
"Sino-Tibetanlanguages,n.i.e.",5
"Slaviclanguages,n.i.e.",60
Slovak,5
Slovenian,0
Somali,670
Spanish,0
Swahili,50
Swedish,160
Filipino,40
Taiwanese,10
Tamil,10
Telugu,30
Thai,5
Tibetanlanguages,5
Tigrigna,65
Turkish,65
Ukrainian,10
Urdu,55
Vietnamese,25
Yiddish,80
,660
,160
,435
,40
,25
,"19,240"
,"18,955"
,"15,080"
,475
,"3,400"
,0
,0
,5
,0
,0
,0
,0
,0
,0
,0
,"3,355"
,0
,10
,5
,5
,0
,35
,15
,5
,5
,0
,5
,5
,20
,0
,240
,280
,0
,25
,35
,30
,75
,5
,10
,10
,0
,360
,275
,10
,5
,45
,25
,70
,0
,5
,105
,115
,5
,100
,5
,5
,10
,0
,5
,5
,15
,5
,5
,260
,0
,0
,5
,5
,0
,40
,0
,130
,75
,55
,35
,0
,115
,5
,0
,80
,5
,0
,0
,0
,0
,0
,5
,30
,5
,0
,305
,0
,25
,30
,20
,5
,0
,5
,5
,0
,35
,25
,10
,30
,10
