language,speakers
"Africanlanguages,n.i.e.",0
Afrikaans,5
Akan(Twi),0
Albanian,0
Amharic,5
Arabic,40
Armenian,5
"Bantulanguages,n.i.e.",0
Bengali,15
Berberlanguages(Kabyle),0
Bisayanlanguages,10
Bosnian,10
Bulgarian,10
Burmese,5
Cantonese,"2,110"
"Chinese,n.o.s.","2,175"
Creoles,0
Croatian,25
Czech,10
Danish,5
Dutch,20
Estonian,0
Finnish,5
Flemish,0
Fukien,40
German,90
Greek,15
Gujarati,10
Hakka,5
Hebrew,30
Hindi,60
Hungarian,30
Ilocano,5
"Indo-Iranianlanguages,n.i.e.",0
Italian,30
Japanese,125
Khmer(Cambodian),0
Korean,320
Kurdish,0
Lao,0
Latvian,5
Lingala,0
Lithuanian,0
Macedonian,0
Malay,50
Malayalam,0
Maltese,0
Mandarin,"1,740"
Marathi,0
Nepali,0
"Niger-Congolanguages,n.i.e.",0
Norwegian,5
Oromo,0
Panjabi(Punjabi),220
Pashto,5
Persian(Farsi),55
Polish,45
Portuguese,15
Romanian,35
Rundi(Kirundi),0
Russian,80
Rwanda(Kinyarwanda),0
"Semiticlanguages,n.i.e.",0
Serbian,10
Serbo-Croatian,5
Shanghainese,40
"Signlanguages,n.i.e.",5
Sindhi,5
Sinhala(Sinhalese),5
"Sino-Tibetanlanguages,n.i.e.",0
"Slaviclanguages,n.i.e.",0
Slovak,5
Slovenian,10
Somali,0
Spanish,110
Swahili,0
Swedish,10
Filipino,190
Taiwanese,175
Tamil,20
Telugu,5
Thai,5
Tibetanlanguages,5
Tigrigna,0
Turkish,10
Ukrainian,20
Urdu,10
Vietnamese,40
Yiddish,30
