language,speakers
"Africanlanguages,n.i.e.",5
Afrikaans,10
Akan(Twi),10
Albanian,10
Amharic,25
Arabic,120
Armenian,10
"Bantulanguages,n.i.e.",0
Bengali,75
Berberlanguages(Kabyle),0
Bisayanlanguages,185
Bosnian,25
Bulgarian,15
Burmese,85
Cantonese,"10,175"
"Chinese,n.o.s.","6,140"
Creoles,10
Croatian,155
Czech,15
Danish,10
Dutch,40
Estonian,0
Finnish,20
Flemish,0
Fukien,65
German,230
Greek,125
Gujarati,130
Hakka,105
Hebrew,10
Hindi,795
Hungarian,60
Ilocano,330
"Indo-Iranianlanguages,n.i.e.",5
Italian,720
Japanese,485
Khmer(Cambodian),65
Korean,465
Kurdish,35
Lao,5
Latvian,10
Lingala,0
Lithuanian,5
Macedonian,15
Malay,200
Malayalam,35
Maltese,0
Mandarin,"2,145"
Marathi,5
Nepali,5
"Niger-Congolanguages,n.i.e.",5
Norwegian,5
Oromo,5
Panjabi(Punjabi),"1,275"
Pashto,5
Persian(Farsi),115
Polish,125
Portuguese,685
Romanian,30
Rundi(Kirundi),5
Russian,130
Rwanda(Kinyarwanda),5
"Semiticlanguages,n.i.e.",0
Serbian,120
Serbo-Croatian,15
Shanghainese,60
"Signlanguages,n.i.e.",10
Sindhi,5
Sinhala(Sinhalese),20
"Sino-Tibetanlanguages,n.i.e.",0
"Slaviclanguages,n.i.e.",5
Slovak,15
Slovenian,15
Somali,30
Spanish,820
Swahili,5
Swedish,10
Filipino,"3,730"
Taiwanese,60
Tamil,145
Telugu,10
Thai,65
Tibetanlanguages,0
Tigrigna,20
Turkish,30
Ukrainian,45
Urdu,35
Vietnamese,"2,190"
Yiddish,5
