language,speakers
"Africanlanguages,n.i.e.",5
Afrikaans,5
Akan(Twi),0
Albanian,0
Amharic,15
Arabic,10
Armenian,5
"Bantulanguages,n.i.e.",0
Bengali,15
Berberlanguages(Kabyle),0
Bisayanlanguages,0
Bosnian,0
Bulgarian,5
Burmese,0
Cantonese,"1,910"
"Chinese,n.o.s.","1,105"
Creoles,0
Croatian,20
Czech,10
Danish,10
Dutch,20
Estonian,5
Finnish,5
Flemish,5
Fukien,10
German,80
Greek,10
Gujarati,0
Hakka,5
Hebrew,5
Hindi,15
Hungarian,25
Ilocano,0
"Indo-Iranianlanguages,n.i.e.",0
Italian,40
Japanese,45
Khmer(Cambodian),15
Korean,30
Kurdish,30
Lao,5
Latvian,0
Lingala,5
Lithuanian,0
Macedonian,0
Malay,10
Malayalam,0
Maltese,5
Mandarin,405
Marathi,5
Nepali,0
"Niger-Congolanguages,n.i.e.",5
Norwegian,5
Oromo,10
Panjabi(Punjabi),30
Pashto,0
Persian(Farsi),30
Polish,30
Portuguese,15
Romanian,10
Rundi(Kirundi),15
Russian,25
Rwanda(Kinyarwanda),5
"Semiticlanguages,n.i.e.",0
Serbian,10
Serbo-Croatian,5
Shanghainese,10
"Signlanguages,n.i.e.",0
Sindhi,5
Sinhala(Sinhalese),0
"Sino-Tibetanlanguages,n.i.e.",10
"Slaviclanguages,n.i.e.",0
Slovak,10
Slovenian,0
Somali,5
Spanish,175
Swahili,10
Swedish,5
Filipino,50
Taiwanese,0
Tamil,5
Telugu,0
Thai,0
Tibetanlanguages,0
Tigrigna,5
Turkish,5
Ukrainian,10
Urdu,5
Vietnamese,345
Yiddish,0
