language,speakers
"Africanlanguages,n.i.e.",0
Afrikaans,5
Akan(Twi),15
Albanian,0
Amharic,15
Arabic,90
Armenian,10
"Bantulanguages,n.i.e.",10
Bengali,295
Berberlanguages(Kabyle),0
Bisayanlanguages,120
Bosnian,0
Bulgarian,0
Burmese,50
Cantonese,"3,695"
"Chinese,n.o.s.","2,265"
Creoles,5
Croatian,20
Czech,15
Danish,10
Dutch,25
Estonian,0
Finnish,0
Flemish,0
Fukien,15
German,475
Greek,50
Gujarati,210
Hakka,30
Hebrew,25
Hindi,885
Hungarian,40
Ilocano,320
"Indo-Iranianlanguages,n.i.e.",10
Italian,90
Japanese,130
Khmer(Cambodian),45
Korean,115
Kurdish,30
Lao,10
Latvian,5
Lingala,0
Lithuanian,5
Macedonian,0
Malay,40
Malayalam,145
Maltese,0
Mandarin,670
Marathi,20
Nepali,45
"Niger-Congolanguages,n.i.e.",5
Norwegian,5
Oromo,5
Panjabi(Punjabi),"8,485"
Pashto,80
Persian(Farsi),100
Polish,65
Portuguese,110
Romanian,25
Rundi(Kirundi),5
Russian,65
Rwanda(Kinyarwanda),0
"Semiticlanguages,n.i.e.",10
Serbian,10
Serbo-Croatian,0
Shanghainese,25
"Signlanguages,n.i.e.",10
Sindhi,5
Sinhala(Sinhalese),35
"Sino-Tibetanlanguages,n.i.e.",5
"Slaviclanguages,n.i.e.",5
Slovak,0
Slovenian,15
Somali,10
Spanish,605
Swahili,10
Swedish,0
Filipino,"2,825"
Taiwanese,80
Tamil,510
Telugu,15
Thai,20
Tibetanlanguages,15
Tigrigna,15
Turkish,20
Ukrainian,20
Urdu,265
Vietnamese,810
Yiddish,5
