language,speakers
"Africanlanguages,n.i.e.",0
Afrikaans,0
Akan(Twi),5
Albanian,5
Amharic,20
Arabic,55
Armenian,10
"Bantulanguages,n.i.e.",10
Bengali,70
Berberlanguages(Kabyle),0
Bisayanlanguages,70
Bosnian,0
Bulgarian,10
Burmese,10
Cantonese,"7,995"
"Chinese,n.o.s.","4,690"
Creoles,5
Croatian,85
Czech,20
Danish,5
Dutch,20
Estonian,5
Finnish,15
Flemish,5
Fukien,35
German,225
Greek,30
Gujarati,25
Hakka,15
Hebrew,10
Hindi,455
Hungarian,35
Ilocano,75
"Indo-Iranianlanguages,n.i.e.",5
Italian,240
Japanese,165
Khmer(Cambodian),30
Korean,110
Kurdish,25
Lao,5
Latvian,0
Lingala,0
Lithuanian,5
Macedonian,0
Malay,40
Malayalam,35
Maltese,0
Mandarin,"1,030"
Marathi,5
Nepali,5
"Niger-Congolanguages,n.i.e.",5
Norwegian,0
Oromo,10
Panjabi(Punjabi),"1,575"
Pashto,0
Persian(Farsi),45
Polish,50
Portuguese,145
Romanian,10
Rundi(Kirundi),5
Russian,40
Rwanda(Kinyarwanda),0
"Semiticlanguages,n.i.e.",5
Serbian,15
Serbo-Croatian,5
Shanghainese,20
"Signlanguages,n.i.e.",5
Sindhi,5
Sinhala(Sinhalese),15
"Sino-Tibetanlanguages,n.i.e.",0
"Slaviclanguages,n.i.e.",5
Slovak,5
Slovenian,5
Somali,5
Spanish,410
Swahili,5
Swedish,10
Filipino,"1,440"
Taiwanese,55
Tamil,90
Telugu,10
Thai,20
Tibetanlanguages,5
Tigrigna,0
Turkish,5
Ukrainian,25
Urdu,35
Vietnamese,975
Yiddish,0
