schoolName,DTaP_P,MEASLES,MUMPS,RUBELLA,VARICELLA1,VARICELLA2,MENC,HBV,UTD1,UTD2,ZERO,LATITUDE,LONGITUDE,ADDRESS,SCHOOL_CATEGORY
ANCHOR POINT MONTESSORI,60,80,80,100,90,60,100,90,60,60,0,49.27706,-123.131,1351 Hornby St,Independent School
BLESSED SACRAMENT SCHOOL,92,92,92,96,96,92,96,92,88,88,NR,49.25834,-123.119,3020 Heather St,Independent School
ELSIE ROY ELEMENTARY,70,75,75,89,86,75,89,84,68,68,NR,49.27224,-123.122,150 Drake St,Public School
FALSE CREEK ELEMENTARY,91,88,88,91,91,91,91,91,88,88,NR,49.2671,-123.127,900 School Green,Public School
L'ECOLE BILINGUE ELEMENTARY,72,72,72,94,92,70,97,92,70,69,NR,49.25808,-123.13,1166 W 14th Av,Public School
LORD ROBERTS ANNEX,73,80,80,93,93,80,93,86,68,68,NR,49.28309,-123.13,1150 Nelson St,Public School
LORD ROBERTS ELEMENTARY,75,76,76,93,92,76,87,89,68,66,NR,49.28679,-123.138,1100 Bidwell St,Public School
SUBTOTAL,73,75,75,90,89,73,90,80,66,64,6,,,,
ADMIRAL SEYMOUR ELEMENTARY,64,59,59,77,73,59,77,55,50,50,NR,49.27859,-123.08,1130 Keefer St,Public School
BRITANNIA COMMUNITY ELEMENTARY,62,65,65,85,88,65,85,77,58,58,NR,49.27451,-123.071,1110 Cotton Drive,Public School
GRANDVIEW ELEMENTARY,61,61,61,78,78,61,83,67,61,61,NR,49.26619,-123.074,2055 Woodland Dr,Public School
INTERNATIONAL VILLAGE ELEMENTARY,71,74,74,89,87,68,84,82,63,61,NR,,,,
LORD NELSON ELEMENTARY,72,75,75,88,88,73,90,78,65,65,NR,49.27251,-123.06,2235 Kitchener St,Public School
LORD STRATHCONA COMMUNITY ELEMENTARY,81,84,84,97,95,84,98,97,79,77,0,49.27981,-123.091,592 E Pender St,Public School
QUEEN VICTORIA ANNEX,73,68,68,91,95,68,95,82,59,59,0,49.26719,-123.066,1850 E 3rd Av,Public School
SIR WILLIAM MACDONALD COMMUNITY,54,62,62,77,69,54,77,54,46,38,NR,49.28072,-123.065,1950 E Hastings St,Public School
ST FRANCIS OF ASSISI,81,85,85,100,100,78,96,96,74,70,0,49.27688,-123.065,870 Victoria Drive,Independent School
THE WESTSIDE SCHOOL,85,96,96,96,92,88,92,73,73,69,0,49.27757,-123.113,788 Beatty St,Independent School
CHARLES DICKENS ELEMENTARY,91,89,89,98,98,80,96,91,80,78,NR,49.25485,-123.082,1010 E 17th Av,Public School
CHIEF MAQUINNA ELEMENTARY,83,83,83,97,97,77,90,97,77,73,NR,49.26789,-123.051,2684 E 2nd Av,Public School
COLLINGWOOD NEIGHBOURHOOD SCHOOL,81,86,84,89,89,84,86,78,76,76,NR,49.23635,-123.032,3417 Euclid Av,Public School
DR A R LORD ELEMENTARY,81,81,81,88,88,81,88,81,75,75,NR,49.27964,-123.04,555 Lillooet St,Public School
G T CUNNINGHAM ELEMENTARY,63,63,63,95,95,61,98,93,61,59,NR,49.23673,-123.057,2330 E 37th Av,Public School
GARIBALDI ANNEX,29,43,43,86,86,29,86,71,29,29,0,49.27542,-123.05,1025 Slocan St,Public School
GRAHAM BRUCE COMMUNITY ELEMENTARY,77,81,81,88,88,73,100,92,77,73,0,49.24207,-123.026,3633 Tanner St,Public School
HASTINGS COMMUNITY ELEMENTARY,70,77,77,95,95,70,96,93,68,66,NR,49.28261,-123.051,2625 Franklin St,Public School
JOHN NORQUAY ELEMENTARY,73,77,76,92,89,73,89,89,70,69,NR,49.24142,-123.052,4710 Slocan St,Public School
