SCHOOL_NAME,LATITUDE,LONGITUDE,ADDRESS,SCHOOL_CATEGORY
ADMIRAL SEYMOUR ELEMENTARY,49.27859427,-123.0803143,1130 Keefer St,Public School
ADMIRAL SEYMOUR STRONGSTART CENTRE,49.27859427,-123.0803143,1130 Keefer St,StrongStart BC
ALEXANDER ACADEMY,49.2850006,-123.1140099,688 W Hastings St,Independent School
ANCHOR POINT MONTESSORI,49.27706185,-123.1309189,1351 Hornby St,Independent School
BC CHILDREN'S ADOL. PSYCH. UNIT,49.23963096,-123.125791,5025 Willow St,Public School
BC CHILDRENS HOSP SCHOOL PROGRAM,49.23963096,-123.125791,5025 Willow St,Public School
BCCH EATING DISORDERS SCHOOL PROGRAM,49.23963096,-123.125791,5025 Willow St,Public School
BAYVIEW COMMUNITY ELEMENTARY,49.26648701,-123.1823338,2251 Collingwood St,Public School
BLESSED SACRAMENT SCHOOL,49.25833791,-123.1193909,3020 Heather St,Independent School
BRITANNIA COMMUNITY ELEMENTARY,49.27451201,-123.0713788,1110 Cotton Drive,Public School
BRITANNIA COMMUNITY SECONDARY,49.27523599,-123.0719231,1001 Cotton Drive,Public School
CANUCK PLACE SCHOOL PROGRAM,49.25166953,-123.1430624,1690 Matthews Av,Public School
CAPTAIN JAMES COOK ELEMENTARY,49.2193808,-123.0358291,3340 E 54th Av,Public School
CAPTAIN JAMES COOK STRONGSTART CENTRE,49.2193808,-123.0358291,3340 E 54th Av,StrongStart BC
CARNARVON COMMUNITY ELEMENTARY,49.25658742,-123.1735572,3400 Balaclava St,Public School
CENTURY HIGH SCHOOL,49.26338476,-123.1453144,1788 W Broadway,Independent School
CHAMPLAIN HEIGHTS ANNEX,49.21407843,-123.0305497,7835 Champlain Crescent,Public School
CHAMPLAIN HEIGHTS ANNEX STRONGSTART CNTR,49.21407843,-123.0305497,7835 Champlain Crescent,StrongStart BC
CHAMPLAIN HEIGHTS COMMUNITY ELEMENTARY,49.2206403,-123.0277484,6955 Frontenac St,Public School
CHARLES DICKENS ANNEX,49.25021306,-123.0827103,3877 Glen Drive,Public School
CHARLES DICKENS ELEMENTARY,49.2548545,-123.0823906,1010 E 17th Av,Public School
CHIEF MAQUINNA ANNEX,49.26642154,-123.0451181,2882 E 4th Av,Public School
CHIEF MAQUINNA ELEMENTARY,49.26788631,-123.0505898,2684 E 2nd Av,Public School
