the_geom,median_household_total_income_2015_2015_constant_dollars,rank_going_up,ctcode,number_of_households_2015,median_household_total_income_2005_2015_constant_dollars,cartodb_id,number_of_households_2005,median_household_total_income_2005_2015_constant_dollars_2,percentage_change,province_territory,geographic_code_province_territory,census_metropolitan_area_census_agglomeration
,145481,5477,9330133.02,2245,147809,1,2185,147809,-1.575005582,British Columbia,59,Vancouver (CMA)
,144128,5468,9330132,1260,134908,2,1315,134908,6.83428707,British Columbia,59,Vancouver (CMA)
,143155,5463,9330021,1230,177529,3,1265,177529,-19.36247036,British Columbia,59,Vancouver (CMA)
,139410,5439,9330121,1440,109686,4,1475,109686,27.09917401,British Columbia,59,Vancouver (CMA)
,139349,5438,9350103,935,121724,5,935,121724,14.47947816,British Columbia,59,Victoria (CMA)
,138459,5429,9330185.08,425,113131,6,410,113131,22.38820482,British Columbia,59,Vancouver (CMA)
,134656,5396,9330114.01,960,115655,7,950,115655,16.42903463,British Columbia,59,Vancouver (CMA)
,131413,5362,9330250.02,1485,123260,8,1360,123260,6.614473471,British Columbia,59,Vancouver (CMA)
,127488,5314,9330133.01,1430,114684,9,1415,114684,11.1645914,British Columbia,59,Vancouver (CMA)
,126976,5307,9330122,1360,122325,10,1365,122325,3.80216636,British Columbia,59,Vancouver (CMA)
,126025,5286,9150001,3295,108224,11,1985,108224,16.44829243,British Columbia,59,Kelowna (CMA)
,125184,5272,9330110.04,1445,111630,12,1480,111630,12.14189734,British Columbia,59,Vancouver (CMA)
,125184,5271,9330008.02,1495,116925,13,1480,116925,7.063502245,British Columbia,59,Vancouver (CMA)
,124300,5255,9330260.08,2355,107906,14,2005,107906,15.19285304,British Columbia,59,Vancouver (CMA)
,123648,5246,9330182.04,540,112293,15,450,112293,10.1119393,British Columbia,59,Vancouver (CMA)
,122624,5221,9330181.12,950,128771,16,835,128771,-4.773590327,British Columbia,59,Vancouver (CMA)
,121984,5208,9330110.03,1215,101167,17,1170,101167,20.57686795,British Columbia,59,Vancouver (CMA)
,121702,5203,9330116,1800,104318,18,1790,104318,16.66442992,British Columbia,59,Vancouver (CMA)
,121161,5187,9330260.06,1420,117244,19,1385,117244,3.340895909,British Columbia,59,Vancouver (CMA)
,120768,5179,9330110.02,1080,106704,20,1055,106704,13.18038686,British Columbia,59,Vancouver (CMA)
,118944,5152,9330160.01,1660,115041,21,1620,115041,3.392703471,British Columbia,59,Vancouver (CMA)
,118912,5151,9330182.02,2025,103722,22,880,103722,14.64491622,British Columbia,59,Vancouver (CMA)
