SCHOOL_NAME,Admiral Seymour Elementary,LATITUDE,LONGITUDE,ADDRESS,SCHOOL_CATEGORY
ADMIRAL SEYMOUR ELEMENTARY,Admiral Seymour StrongStart Centre,49.27859427,-123.0803143,1130 Keefer St,Public School
ADMIRAL SEYMOUR STRONGSTART CENTRE,Alexander Academy,49.27859427,-123.0803143,1130 Keefer St,StrongStart BC
ALEXANDER ACADEMY,Anchor Point Montessori,49.2850006,-123.1140099,688 W Hastings St,Independent School
ANCHOR POINT MONTESSORI,BC Children's Adol. Psych. Unit,49.27706185,-123.1309189,1351 Hornby St,Independent School
BC CHILDREN'S ADOL. PSYCH. UNIT,BC Childrens Hosp School Program,49.23963096,-123.125791,5025 Willow St,Public School
BC CHILDRENS HOSP SCHOOL PROGRAM,BCCH Eating Disorders School Program,49.23963096,-123.125791,5025 Willow St,Public School
BCCH EATING DISORDERS SCHOOL PROGRAM,Bayview Community Elementary,49.23963096,-123.125791,5025 Willow St,Public School
BAYVIEW COMMUNITY ELEMENTARY,Blessed Sacrament School,49.26648701,-123.1823338,2251 Collingwood St,Public School
BLESSED SACRAMENT SCHOOL,Britannia Community Elementary,49.25833791,-123.1193909,3020 Heather St,Independent School
BRITANNIA COMMUNITY ELEMENTARY,Britannia Community Secondary,49.27451201,-123.0713788,1110 Cotton Drive,Public School
BRITANNIA COMMUNITY SECONDARY,Canuck Place School Program,49.27523599,-123.0719231,1001 Cotton Drive,Public School
CANUCK PLACE SCHOOL PROGRAM,Captain James Cook Elementary,49.25166953,-123.1430624,1690 Matthews Av,Public School
CAPTAIN JAMES COOK ELEMENTARY,Captain James Cook StrongStart Centre,49.2193808,-123.0358291,3340 E 54th Av,Public School
CAPTAIN JAMES COOK STRONGSTART CENTRE,Carnarvon Community Elementary,49.2193808,-123.0358291,3340 E 54th Av,StrongStart BC
CARNARVON COMMUNITY ELEMENTARY,Century High School,49.25658742,-123.1735572,3400 Balaclava St,Public School
CENTURY HIGH SCHOOL,Champlain Heights Annex,49.26338476,-123.1453144,1788 W Broadway,Independent School
CHAMPLAIN HEIGHTS ANNEX,Champlain Heights Annex StrongStart Cntr,49.21407843,-123.0305497,7835 Champlain Crescent,Public School
CHAMPLAIN HEIGHTS ANNEX STRONGSTART CNTR,Champlain Heights Community Elementary,49.21407843,-123.0305497,7835 Champlain Crescent,StrongStart BC
CHAMPLAIN HEIGHTS COMMUNITY ELEMENTARY,Charles Dickens Annex,49.2206403,-123.0277484,6955 Frontenac St,Public School
CHARLES DICKENS ANNEX,Charles Dickens Elementary,49.25021306,-123.0827103,3877 Glen Drive,Public School
CHARLES DICKENS ELEMENTARY,Chief Maquinna Annex,49.2548545,-123.0823906,1010 E 17th Av,Public School
CHIEF MAQUINNA ANNEX,Chief Maquinna Elementary,49.26642154,-123.0451181,2882 E 4th Av,Public School
CHIEF MAQUINNA ELEMENTARY,Chief Maquinna StrongStart Centre,49.26788631,-123.0505898,2684 E 2nd Av,Public School
CHIEF MAQUINNA STRONGSTART CENTRE,Children's Hearing and Speech Centre BC,49.26788631,-123.0505898,2684 E 2nd Av,StrongStart BC
CHILDREN'S HEARING AND SPEECH CENTRE BC,Collingwood Neighbourhood School,49.25235797,-123.0483494,3575 Kaslo St,Independent School
COLLINGWOOD NEIGHBOURHOOD SCHOOL,Collingwood StrongStart Centre,49.2363486,-123.032313,3417 Euclid Av,Public School
COLLINGWOOD STRONGSTART CENTRE,Columbia College,49.2363486,-123.032313,3417 Euclid Av,StrongStart BC
COLUMBIA COLLEGE,Continuing Ed SD 39,49.27155962,-123.0950777,438 Terminal Av,Independent School
CONTINUING ED SD 39,Corpus Christi School,49.26329988,-123.1402605,1580 W Broadway,Public School
CORPUS CHRISTI SCHOOL,Crofton House,49.22640611,-123.0575835,6344 Nanaimo St,Independent School
CROFTON HOUSE,Crosstown Elementary,49.23367783,-123.1772182,3200 W 41st Av,Independent School
CROSSTOWN ELEMENTARY,David Livingstone Elementary,49.278631,-123.106594,55 Expo Blvd,Public School
DAVID LIVINGSTONE ELEMENTARY,David Lloyd George Elementary,49.25075334,-123.0979814,315 E 23rd Av,Public School
DAVID LLOYD GEORGE ELEMENTARY,David Lloyd George StrongStart Centre,49.20996241,-123.1363489,8370 Cartier St,Public School
DAVID LLOYD GEORGE STRONGSTART CENTRE,David Oppenheimer Elementary,49.20996241,-123.1363489,8370 Cartier St,StrongStart BC
DAVID OPPENHEIMER ELEMENTARY,David Thompson Secondary,49.21331811,-123.0582933,2421 Scarboro Av,Public School
DAVID THOMPSON SECONDARY,Dr A R Lord Elementary,49.22043926,-123.0706316,1755 E 55th Av,Public School
DR A R LORD ELEMENTARY,Dr Annie B Jamieson Elementary,49.27964049,-123.0395172,555 Lillooet St,Public School
DR ANNIE B JAMIESON ELEMENTARY,Dr George M Weir Elementary,49.22690694,-123.1210043,6350 Tisdall St,Public School
DR GEORGE M WEIR ELEMENTARY,Dr H N MacCorkindale Elementary,49.22957876,-123.0444025,2900 E 44th Av,Public School
DR H N MACCORKINDALE ELEMENTARY,Dr R E McKechnie Elementary,49.22799019,-123.029355,6100 Battison St,Public School
DR R E MCKECHNIE ELEMENTARY,Ecole Jules Quesnel Elementary,49.21770659,-123.1540113,7455 Maple St,Public School
ECOLE JULES QUESNEL ELEMENTARY,Edith Cavell Elementary,49.25956781,-123.1925381,3050 Crown St,Public School
EDITH CAVELL ELEMENTARY,Elsie Roy Elementary,49.25290711,-123.1172288,500 W 20th Av,Public School
ELSIE ROY ELEMENTARY,Emily Carr Elementary,49.272238,-123.122482,150 Drake St,Public School
EMILY CARR ELEMENTARY,Eric Hamber Secondary,49.25004165,-123.1260964,4070 Oak St,Public School
ERIC HAMBER SECONDARY,False Creek Elementary,49.23963096,-123.125791,5025 Willow St,Public School
FALSE CREEK ELEMENTARY,Family Montessori School,49.26710311,-123.1268592,900 School Green,Public School
FAMILY MONTESSORI SCHOOL,Florence Nightingale Elementary,49.26766798,-123.198246,4196 W 4th Av,Independent School
FLORENCE NIGHTINGALE ELEMENTARY,Florence Nightingale StrongStart Centre,49.26005933,-123.0937176,2740 Guelph St,Public School
FLORENCE NIGHTINGALE STRONGSTART CENTRE,Fraser Academy,49.26005933,-123.0937176,2740 Guelph St,StrongStart BC
FRASER ACADEMY,G F Strong School Program,49.26266071,-123.157276,2294 W 10th Av,Independent School
G F STRONG SCHOOL PROGRAM,G T Cunningham Elementary,49.23963096,-123.125791,5025 Willow St,Public School
G T CUNNINGHAM ELEMENTARY,Garibaldi Annex,49.23673223,-123.057456,2330 E 37th Av,Public School
GARIBALDI ANNEX,General Brock Elementary,49.27541639,-123.0502688,1025 Slocan St,Public School
GENERAL BROCK ELEMENTARY,General Gordon Elementary,49.24121522,-123.1006314,4860 Main St,Public School
GENERAL GORDON ELEMENTARY,General Wolfe Elementary,49.2659799,-123.1706742,2896 W 6th Av,Public School
GENERAL WOLFE ELEMENTARY,Gladstone Secondary,49.24722871,-123.1059649,4251 Ontario St,Public School
GLADSTONE SECONDARY,Graham Bruce Community Elementary,49.24761204,-123.0616331,4105 Gladstone St,Public School
